"Travel motives","Population","Travel modes","Margins","Region characteristics","Periods","Average per person per day Trips (number)","Distance travelled (passenger kilometres )","Average per person per year Trips (number)","Distance travelled (passenger kilometres )"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2022","0.20","1.45","71","528"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2023","0.20","1.54","75","561"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2018","0.16","1.16","60","425"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2019","0.16","1.23","58","447"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2020","0.18","1.23","65","451"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2021","0.18","1.32","64","483"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2022","0.18","1.39","65","508"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2023","0.18","1.31","64","480"
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","The Netherlands","2018","0.00","0.23","2","82"
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","The Netherlands","2019","0.00","0.22","2","80"
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","The Netherlands","2020","0.00","0.08","1","29"
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","The Netherlands","2021","0.00","0.09","1","33"
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","The Netherlands","2022","0.00","0.15","1","56"
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","The Netherlands","2023","0.00","0.16","1","58"
